episode,avg_steps,avg_reward,epsilon,temp,loss,action_counts
99,96.1,-193.91829489041055,0.9707323853954611,1.947241141088753,"tensor(102.9805, grad_fn=<MseLossBackward0>)","{0: 0.12, 1: 0.23, 2: 0.14, 3: 0.14}"
199,96.93,-165.1656207290186,0.9420386676463453,1.8953621447860036,"tensor(7.3539, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.23, 2: 0.25, 3: 0.23}"
299,95.74,-163.26358795312277,0.9141931027462054,1.8448653246301077,"tensor(5.3523, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.21, 2: 0.24, 3: 0.22}"
399,92.23,-144.9872793509379,0.8871706202854996,1.7957138562598152,"tensor(2.5363, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.18, 2: 0.18, 3: 0.27}"
499,91.13,-158.5983737559131,0.8609468909067693,1.747871896399821,"tensor(197.4943, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.2, 2: 0.17, 3: 0.18}"
599,89.65,-132.12290556762775,0.8354983044000018,1.7013045567223606,"tensor(30.7016, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.25, 2: 0.26, 3: 0.21}"
699,91.3,-136.78847862459162,0.81080194844547,1.6559778784052104,"tensor(2.6334, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.19, 2: 0.15, 3: 0.18}"
799,96.6,-120.85913683275886,0.7868355879849099,1.6118588073675144,"tensor(2.8698, grad_fn=<MseLossBackward0>)","{0: 0.25, 1: 0.35, 2: 0.5, 3: 0.35}"
899,96.53,-117.68589559892611,0.7635776452024607,1.5689151701653854,"tensor(7.9996, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.16, 2: 0.25, 3: 0.19}"
999,94.6,-99.25292409997121,0.7410071800973455,1.5271156505297092,"tensor(2.2564, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.18, 2: 0.23, 3: 0.15}"
1099,97.19,-99.88043183408517,0.7191038716308007,1.4864297665290236,"tensor(6.8468, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.23, 2: 0.19, 3: 0.18}"
1199,92.94,-83.52997586787626,0.6978479994302824,1.446827848340843,"tensor(2.8570, grad_fn=<MseLossBackward0>)","{0: 0.06, 1: 0.2, 2: 0.23, 3: 0.19}"
1299,98.25,-92.55532107790742,0.6772204260344694,1.408281016615204,"tensor(10.6068, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.24, 2: 0.34, 3: 0.26}"
1399,96.11,-80.78790886225073,0.6572025796630901,1.3707611614146502,"tensor(30.0353, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.22, 2: 0.25, 3: 0.16}"
1499,94.71,-80.40932629274936,0.6377764374960482,1.3342409217153082,"tensor(2.6048, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.26, 2: 0.21, 3: 0.32}"
1599,97.03,-79.27746389813535,0.6189245094468019,1.2986936654541015,"tensor(4.6638, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.28, 2: 0.35, 3: 0.24}"
1699,101.4,-63.89935184744871,0.6006298224153795,1.2640934701075583,"tensor(30.3268, grad_fn=<MseLossBackward0>)","{0: 0.12, 1: 0.13, 2: 0.29, 3: 0.24}"
1799,107.57,-57.201179889975016,0.5828759050068577,1.230415103788033,"tensor(3.4028, grad_fn=<MseLossBackward0>)","{0: 0.3, 1: 0.36, 2: 0.42, 3: 0.31}"
1899,102.64,-62.89684985895545,0.5656467727015482,1.197634006843576,"tensor(10.8199, grad_fn=<MseLossBackward0>)","{0: 0.24, 1: 0.25, 2: 0.34, 3: 0.33}"
1999,111.64,-59.62968945587876,0.5489269134635317,1.165726273948027,"tensor(2.1154, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.15, 2: 0.31, 3: 0.2}"
2099,113.85,-48.424173085742034,0.5327012737745875,1.134668636668264,"tensor(2.6975, grad_fn=<MseLossBackward0>)","{0: 0.25, 1: 0.28, 2: 0.31, 3: 0.24}"
2199,114.15,-45.29468316028221,0.5169552450809477,1.1044384464959032,"tensor(4.3433, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.2, 2: 0.54, 3: 0.2}"
2299,119.21,-32.45328319652769,0.5016746506406634,1.0750136583310752,"tensor(69.9122, grad_fn=<MseLossBackward0>)","{0: 0.12, 1: 0.23, 2: 0.65, 3: 0.28}"
2399,119.62,-33.625737213563426,0.48684573275975324,1.0463728144062294,"tensor(2.1117, grad_fn=<MseLossBackward0>)","{0: 0.28, 1: 0.23, 2: 0.55, 3: 0.21}"
2499,107.8,-37.471610228664666,0.472455140405632,1.0184950286382455,"tensor(9.4221, grad_fn=<MseLossBackward0>)","{0: 0.33, 1: 0.4, 2: 0.61, 3: 0.51}"
2599,115.24,-27.544698743930923,0.45848991718667526,0.9913599713974401,"tensor(2.8062, grad_fn=<MseLossBackward0>)","{0: 0.27, 1: 0.23, 2: 0.62, 3: 0.18}"
2699,121.28,-34.0298797543452,0.44493748968709157,0.9649478546823712,"tensor(1.9368, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.3, 2: 0.83, 3: 0.27}"
2799,143.7,-30.791050067982837,0.43178565614660414,0.9392394176895996,"tensor(3.1159, grad_fn=<MseLossBackward0>)","{0: 0.19, 1: 0.19, 2: 0.56, 3: 0.21}"
2899,146.43,-23.38408068422132,0.41902257547474614,0.9142159127679285,"tensor(23.1462, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.3, 2: 0.24, 3: 0.32}"
2999,169.66,-25.23799867640795,0.4066367565898823,0.8898590917468385,"tensor(2.2781, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.17, 2: 0.42, 3: 0.09}"
