episode,avg_steps,avg_reward,epsilon,temp,loss,action_counts
99,91.59,-220.57513874659523,0.9707323853954611,1.947241141088753,"tensor(13.8263, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.24, 2: 0.19, 3: 0.22}"
199,92.18,-203.25968052903113,0.9420386676463453,1.8953621447860036,"tensor(6.3405, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.24, 2: 0.2, 3: 0.29}"
episode,avg_steps,avg_reward,epsilon,temp,loss,action_counts
99,92.21,-198.77647080510235,0.9707323853954611,1.947241141088753,"tensor(1.7199, grad_fn=<MseLossBackward0>)","{0: 0.31, 1: 0.28, 2: 0.22, 3: 0.25}"
199,95.25,-202.123423340769,0.9420386676463453,1.8953621447860036,"tensor(18.2511, grad_fn=<MseLossBackward0>)","{0: 0.28, 1: 0.23, 2: 0.29, 3: 0.32}"
299,93.73,-184.87670150829555,0.9141931027462054,1.8448653246301077,"tensor(4.4007, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.13, 2: 0.28, 3: 0.23}"
399,93.02,-172.68840032834981,0.8871706202854996,1.7957138562598152,"tensor(3.6987, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.24, 2: 0.21, 3: 0.19}"
499,93.61,-155.67533830219355,0.8609468909067693,1.747871896399821,"tensor(7.5435, grad_fn=<MseLossBackward0>)","{0: 0.26, 1: 0.27, 2: 0.29, 3: 0.26}"
599,92.13,-178.42290184813507,0.8354983044000018,1.7013045567223606,"tensor(2.5371, grad_fn=<MseLossBackward0>)","{0: 0.28, 1: 0.33, 2: 0.25, 3: 0.4}"
699,92.77,-165.24264821380967,0.81080194844547,1.6559778784052104,"tensor(79.1609, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.22, 2: 0.2, 3: 0.19}"
799,91.67,-146.46473023711513,0.7868355879849099,1.6118588073675144,"tensor(6.1595, grad_fn=<MseLossBackward0>)","{0: 0.19, 1: 0.19, 2: 0.17, 3: 0.26}"
899,95.92,-132.94478543996786,0.7635776452024607,1.5689151701653854,"tensor(9.2854, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.17, 2: 0.24, 3: 0.16}"
999,96.62,-144.93671534081648,0.7410071800973455,1.5271156505297092,"tensor(139.4339, grad_fn=<MseLossBackward0>)","{0: 0.2, 1: 0.22, 2: 0.38, 3: 0.29}"
1099,93.86,-125.92698326013851,0.7191038716308007,1.4864297665290236,"tensor(6.2231, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.24, 2: 0.3, 3: 0.16}"
1199,103.12,-116.68488924724053,0.6978479994302824,1.446827848340843,"tensor(3.1932, grad_fn=<MseLossBackward0>)","{0: 0.19, 1: 0.25, 2: 0.44, 3: 0.18}"
1299,100.97,-116.56917452594534,0.6772204260344694,1.408281016615204,"tensor(2.4517, grad_fn=<MseLossBackward0>)","{0: 0.12, 1: 0.16, 2: 0.37, 3: 0.26}"
1399,105.86,-111.50690847278928,0.6572025796630901,1.3707611614146502,"tensor(19.9252, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.26, 2: 0.16, 3: 0.23}"
1499,108.42,-97.12862436132616,0.6377764374960482,1.3342409217153082,"tensor(14.0016, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.35, 2: 0.47, 3: 0.4}"
1599,106.37,-91.03601376384044,0.6189245094468019,1.2986936654541015,"tensor(4.1796, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.17, 2: 0.28, 3: 0.28}"
1699,116.2,-89.65171359830089,0.6006298224153795,1.2640934701075583,"tensor(4.0221, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.4, 2: 0.49, 3: 0.32}"
