episode,avg_steps,avg_reward,epsilon,temp,loss,action_counts
3399,209.01,15.737676228973898,0.3606479567196572,0.5,"tensor(19.0660, grad_fn=<MseLossBackward0>)","{0: 0.35, 1: 0.32, 2: 0.57, 3: 0.25}"
3499,163.78,10.37326064358757,0.34998762351907753,0.5,"tensor(27.2040, grad_fn=<MseLossBackward0>)","{0: 0.11, 1: 0.22, 2: 0.38, 3: 0.17}"
3599,159.62,0.09237183872232337,0.33964239734137164,0.5,"tensor(5.9997, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.14, 2: 0.38, 3: 0.16}"
3699,153.34,-0.7593802341139799,0.32960296399025707,0.5,"tensor(70.8419, grad_fn=<MseLossBackward0>)","{0: 1.23, 1: 0.81, 2: 1.16, 3: 1.8}"
3799,176.76,9.682019988501088,0.31986028458623617,0.5,"tensor(9.6692, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.11, 2: 0.39, 3: 0.22}"
3899,153.34,5.032727589495392,0.3104055874285531,0.5,"tensor(11.3648, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.16, 2: 0.34, 3: 0.1}"
3999,201.75,16.670699984010984,0.3012303600977012,0.5,"tensor(687.0988, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.26, 2: 0.57, 3: 0.25}"
4099,200.09,18.793584553265262,0.29232634179137196,0.5,"tensor(24.6586, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.14, 2: 0.42, 3: 0.14}"
4199,140.09,-18.51872223341301,0.2836855158869432,0.5,"tensor(3.2130, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.14, 2: 0.29, 3: 0.2}"
4299,204.83,28.6438891256985,0.27530010272381267,0.5,"tensor(7.7291, grad_fn=<MseLossBackward0>)","{0: 0.19, 1: 0.16, 2: 0.38, 3: 0.19}"
4399,236.36,37.737785731794105,0.2671625525990772,0.5,"tensor(6.5481, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.2, 2: 0.49, 3: 0.2}"
4499,205.52,25.25424553986793,0.25926553897025056,0.5,"tensor(22.1036, grad_fn=<MseLossBackward0>)","{0: 0.11, 1: 0.14, 2: 0.36, 3: 0.13}"
4599,219.24,23.279968861278817,0.2516019518589026,0.5,"tensor(6.9207, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.16, 2: 0.4, 3: 0.22}"
4699,196.59,27.02003483670909,0.24416489144927697,0.5,"tensor(142.7525, grad_fn=<MseLossBackward0>)","{0: 0.12, 1: 0.2, 2: 0.41, 3: 0.22}"
4799,240.95,37.6405562264044,0.2369476618761284,0.5,"tensor(16.9288, grad_fn=<MseLossBackward0>)","{0: 0.73, 1: 1.08, 2: 2.37, 3: 0.82}"
4899,202.2,25.763259438867113,0.22994376519618312,0.5,"tensor(26.2876, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.11, 2: 0.48, 3: 0.12}"
4999,239.3,36.96139621487137,0.22314689553779596,0.5,"tensor(18.1563, grad_fn=<MseLossBackward0>)","{0: 1.66, 1: 1.23, 2: 1.0, 3: 1.11}"
5099,327.21,77.0257776776117,0.21655093342353662,0.5,"tensor(24.9268, grad_fn=<MseLossBackward0>)","{0: 1.01, 1: 2.36, 2: 0.9, 3: 0.73}"
5199,317.42,68.65691121633769,0.2101499402605948,0.5,"tensor(44.5315, grad_fn=<MseLossBackward0>)","{0: 1.37, 1: 1.3, 2: 1.12, 3: 1.21}"
5299,326.02,79.68923610474607,0.20393815299404083,0.5,"tensor(59.5142, grad_fn=<MseLossBackward0>)","{0: 1.3, 1: 1.21, 2: 1.51, 3: 0.98}"
5399,328.25,76.74791785680935,0.1979099789181311,0.5,"tensor(3.8156, grad_fn=<MseLossBackward0>)","{0: 1.47, 1: 1.16, 2: 1.1, 3: 1.27}"
5499,356.1,91.27976283542199,0.19205999064098425,0.5,"tensor(1.7433, grad_fn=<MseLossBackward0>)","{0: 1.57, 1: 1.25, 2: 0.81, 3: 1.37}"
5599,356.81,83.28409893027873,0.18638292119809646,0.5,"tensor(4.4583, grad_fn=<MseLossBackward0>)","{0: 1.36, 1: 1.31, 2: 1.46, 3: 0.87}"
5699,351.43,28.589741919383517,0.18087365931029498,0.5,"tensor(14.7389, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.15, 2: 0.55, 3: 0.18}"
5799,403.1,102.1329549698961,0.17552724478186138,0.5,"tensor(335.2592, grad_fn=<MseLossBackward0>)","{0: 1.55, 1: 1.21, 2: 1.27, 3: 0.97}"
5899,365.38,98.68029852431236,0.1703388640346807,0.5,"tensor(2.9164, grad_fn=<MseLossBackward0>)","{0: 0.25, 1: 0.28, 2: 0.66, 3: 0.23}"
5999,333.22,91.47557574056106,0.1653038457743959,0.5,"tensor(5.2566, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.23, 2: 0.52, 3: 0.24}"
6099,343.92,90.50221084305069,0.1604176567846656,0.5,"tensor(7.3345, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.12, 2: 0.61, 3: 0.13}"
6199,355.94,90.98454421636687,0.15567589784573974,0.5,"tensor(3.8189, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.23, 2: 0.36, 3: 0.3}"
6299,306.9,80.7560752227318,0.15107429977367576,0.5,"tensor(20.1009, grad_fn=<MseLossBackward0>)","{0: 0.08, 1: 0.39, 2: 0.52, 3: 0.34}"
6399,354.19,98.79545997064393,0.1466087195766319,0.5,"tensor(1.8728, grad_fn=<MseLossBackward0>)","{0: 1.54, 1: 1.22, 2: 0.88, 3: 1.36}"
6499,316.44,91.44120870108736,0.14227513672477576,0.5,"tensor(7.1297, grad_fn=<MseLossBackward0>)","{0: 1.65, 1: 1.33, 2: 0.76, 3: 1.26}"
6599,334.25,97.63821576634962,0.13806964953045042,0.5,"tensor(238.4599, grad_fn=<MseLossBackward0>)","{0: 1.79, 1: 1.15, 2: 0.95, 3: 1.11}"
6699,292.93,78.93842194625627,0.13398847163533775,0.5,"tensor(2.2275, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.14, 2: 0.47, 3: 0.13}"
6799,369.63,114.46189088122,0.1300279286014575,0.5,"tensor(2.3925, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.27, 2: 0.73, 3: 0.16}"
6899,376.32,107.61911096248963,0.1261844546029338,0.5,"tensor(2.4045, grad_fn=<MseLossBackward0>)","{0: 0.92, 1: 2.46, 2: 1.19, 3: 0.43}"
6999,356.15,102.2187556048918,0.12245458921554622,0.5,"tensor(3.5968, grad_fn=<MseLossBackward0>)","{0: 1.75, 1: 1.18, 2: 0.96, 3: 1.11}"
7099,361.63,108.39078227385771,0.118834974301181,0.5,"tensor(3.0723, grad_fn=<MseLossBackward0>)","{0: 1.61, 1: 0.57, 2: 0.86, 3: 1.96}"
7199,372.48,105.69275424897283,0.11532235098437221,0.5,"tensor(1.6977, grad_fn=<MseLossBackward0>)","{0: 1.54, 1: 1.06, 2: 1.13, 3: 1.27}"
7299,382.59,112.0446442872837,0.11191355671821418,0.5,"tensor(5.4960, grad_fn=<MseLossBackward0>)","{0: 1.19, 1: 0.69, 2: 1.16, 3: 1.96}"
7399,326.5,94.94021383852225,0.10860552243700095,0.5,"tensor(391.7699, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.15, 2: 0.38, 3: 0.18}"
7499,274.69,71.19405952046337,0.10539526979303146,0.5,"tensor(0.9409, grad_fn=<MseLossBackward0>)","{0: 0.26, 1: 0.21, 2: 0.54, 3: 0.19}"
