99,111.05,-168.83879113431374,0.9803927912081881,"tensor(2.9073, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.2, 2: 0.18, 3: 0.35}"
199,89.73,-165.8182968588328,0.9609777910479709,"tensor(7.5076, grad_fn=<MseLossBackward0>)","{0: 0.2, 1: 0.17, 2: 0.28, 3: 0.23}"
299,92.68,-173.4941226357247,0.9419472717148276,"tensor(9.3293, grad_fn=<MseLossBackward0>)","{0: 0.29, 1: 0.25, 2: 0.25, 3: 0.33}"
399,91.74,-146.5008921859823,0.92329361922446,"tensor(4.6547, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.17, 2: 0.21, 3: 0.13}"
499,97.05,-128.56876596671393,0.9050093703744867,"tensor(19.4464, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.12, 2: 0.13, 3: 0.16}"
599,91.65,-152.11365241289886,0.8870872097584692,"tensor(7.4402, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.18, 2: 0.11, 3: 0.18}"
699,101.36,-146.41256493084234,0.8695199668390645,"tensor(7.4531, grad_fn=<MseLossBackward0>)","{0: 0.25, 1: 0.29, 2: 0.26, 3: 0.2}"
799,92.12,-135.92204008911463,0.852300613079141,"tensor(25.4136, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.12, 2: 0.2, 3: 0.2}"
899,93.92,-127.60283131778111,0.8354222591297082,"tensor(232.5527, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.18, 2: 0.28, 3: 0.12}"
999,95.03,-132.25410768772528,0.8188781520735317,"tensor(2.1676, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.18, 2: 0.17, 3: 0.19}"
1099,100.49,-113.59656053432562,0.8026616727233379,"tensor(33.8998, grad_fn=<MseLossBackward0>)","{0: 0.28, 1: 0.23, 2: 0.29, 3: 0.28}"
1199,92.42,-114.36884350875124,0.7867663329735225,"tensor(3.5629, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.19, 2: 0.26, 3: 0.26}"
1299,92.99,-108.16964994614482,0.7711857732042998,"tensor(59.9265, grad_fn=<MseLossBackward0>)","{0: 0.1, 1: 0.13, 2: 0.27, 3: 0.2}"
1399,97.11,-113.38216707088179,0.7559137597372618,"tensor(49.3472, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.21, 2: 0.27, 3: 0.19}"
1499,98.24,-104.53223282980396,0.7409441823413255,"tensor(1502.7189, grad_fn=<MseLossBackward0>)","{0: 0.19, 1: 0.31, 2: 0.29, 3: 0.25}"
1599,98.97,-100.37316348781717,0.7262710517880696,"tensor(29.3887, grad_fn=<MseLossBackward0>)","{0: 0.24, 1: 0.18, 2: 0.45, 3: 0.29}"
1699,97.04,-90.65085080669735,0.7118884974554845,"tensor(3.4856, grad_fn=<MseLossBackward0>)","{0: 0.19, 1: 0.25, 2: 0.27, 3: 0.28}"
1799,97.58,-81.10727221686574,0.6977907649791757,"tensor(3.8569, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.32, 2: 0.36, 3: 0.3}"
1899,98.68,-90.36301031018917,0.6839722139500792,"tensor(3.9318, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.28, 2: 0.36, 3: 0.24}"
1999,93.65,-85.97611034236303,0.6704273156577732,"tensor(5.3793, grad_fn=<MseLossBackward0>)","{0: 0.28, 1: 0.31, 2: 0.34, 3: 0.3}"
2099,99.63,-90.27657026286072,0.6571506508784772,"tensor(540.2625, grad_fn=<MseLossBackward0>)","{0: 0.2, 1: 0.22, 2: 0.25, 3: 0.2}"
2199,97.22,-85.73241654147199,0.6441369077068556,"tensor(3.4371, grad_fn=<MseLossBackward0>)","{0: 0.2, 1: 0.2, 2: 0.29, 3: 0.16}"
2299,97.49,-78.17718499714975,0.631380879430762,"tensor(6.1276, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.17, 2: 0.44, 3: 0.23}"
2399,100.11,-88.7499014803353,0.6188774624480651,"tensor(15.0441, grad_fn=<MseLossBackward0>)","{0: 0.19, 1: 0.27, 2: 0.3, 3: 0.32}"
2499,98.9,-69.52276315164117,0.606621654224734,"tensor(3.5358, grad_fn=<MseLossBackward0>)","{0: 0.36, 1: 0.21, 2: 0.57, 3: 0.28}"
2599,94.99,-69.57977782887758,0.5946085512933562,"tensor(11.7846, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.2, 2: 0.43, 3: 0.23}"
2699,102.2,-67.12006176003531,0.5828333472912952,"tensor(4.6133, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.33, 2: 0.28, 3: 0.26}"
2799,105.57,-54.33009744182873,0.5712913310376923,"tensor(8.2545, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.16, 2: 0.21, 3: 0.13}"
2899,101.78,-53.075067877382544,0.5599778846485581,"tensor(11.4909, grad_fn=<MseLossBackward0>)","{0: 0.28, 1: 0.19, 2: 0.43, 3: 0.21}"
2999,103.73,-52.05582464880885,0.5488884816891875,"tensor(5.1546, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.15, 2: 0.44, 3: 0.17}"
3099,118.91,-49.15490387928977,0.5380186853631617,"tensor(7.2489, grad_fn=<MseLossBackward0>)","{0: 0.25, 1: 0.22, 2: 0.5, 3: 0.32}"
3199,110.67,-52.9941814305046,0.5273641467372165,"tensor(8.0718, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.15, 2: 0.29, 3: 0.15}"
3299,102.88,-54.35143634897194,0.5169206030012626,"tensor(136.9018, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.26, 2: 0.35, 3: 0.3}"
3399,114.52,-31.988223955758517,0.5066838757628654,"tensor(12.4787, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.17, 2: 0.53, 3: 0.14}"
3499,122.87,-42.920661177877975,0.49664986937549427,"tensor(55.2752, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.14, 2: 0.35, 3: 0.2}"
3599,114.22,-37.62441900450515,0.4868145692998849,"tensor(16.4938, grad_fn=<MseLossBackward0>)","{0: 0.11, 1: 0.1, 2: 0.43, 3: 0.21}"
3699,129.17,-41.020685992473446,0.47717404049784673,"tensor(116.9665, grad_fn=<MseLossBackward0>)","{0: 0.26, 1: 0.3, 2: 0.59, 3: 0.25}"
3799,177.98,-22.103894305149495,0.46772442585788154,"tensor(41.7553, grad_fn=<MseLossBackward0>)","{0: 1.83, 1: 1.79, 2: 2.37, 3: 1.51}"
3899,139.47,-35.6982014260333,0.4584619446519791,"tensor(15.0705, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.3, 2: 0.35, 3: 0.18}"
3999,121.07,-31.736902112234997,0.4493828910229714,"tensor(11.8633, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.29, 2: 0.45, 3: 0.17}"
