episode,avg_steps,avg_reward,epsilon,loss,action_counts
1783,160.0,10.810149411441785,0.5962203355899365,"tensor(2.0079, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.16, 1: 0.22, 2: 0.41, 3: 0.21}"
1899,160.0,24.23728617686376,0.5764942758915463,"tensor(5.1736, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.17, 1: 0.21, 2: 0.42, 3: 0.2}"
2012,160.0,23.71772467660237,0.5579060940699265,"tensor(0.8817, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.17, 1: 0.21, 2: 0.42, 3: 0.2}"
2115,160.0,25.846310320160352,0.5414855202632491,"tensor(4.7778, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.15, 1: 0.21, 2: 0.44, 3: 0.2}"
2266,240.0,41.32249754908622,0.51828224856041,"tensor(0.9275, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.16, 1: 0.2, 2: 0.45, 3: 0.2}"
2380,240.0,36.129313258434735,0.5014255694973667,"tensor(3.5604, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.14, 1: 0.18, 2: 0.48, 3: 0.19}"
2503,320.0,34.17334217968678,0.4838524512639367,"tensor(1.3903, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.15, 1: 0.17, 2: 0.47, 3: 0.2}"
2608,240.0,31.342767347058043,0.46933912650316056,"tensor(2.8672, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.14, 1: 0.19, 2: 0.46, 3: 0.21}"
2722,240.0,55.668394702014496,0.4540742798888529,"tensor(1.4620, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.19, 1: 0.22, 2: 0.4, 3: 0.19}"
2824,240.0,70.43037841330997,0.44083757935225953,"tensor(4.2237, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.25, 1: 0.21, 2: 0.34, 3: 0.19}"
2944,320.0,76.58768629557676,0.42575814906086307,"tensor(1.2800, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.27, 1: 0.24, 2: 0.32, 3: 0.17}"
3072,320.0,83.98943212929883,0.41024152696127886,"tensor(3.8706, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.22, 1: 0.18, 2: 0.4, 3: 0.2}"
3182,320.0,74.24573879914003,0.3973595149066932,"tensor(1.7835, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.36, 1: 0.17, 2: 0.31, 3: 0.16}"
3311,400.0,91.44348741735493,0.3827668375317832,"tensor(2.3117, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.26, 1: 0.22, 2: 0.35, 3: 0.17}"
3421,320.0,81.321283947175,0.3707475593965265,"tensor(0.8195, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.22, 1: 0.2, 2: 0.34, 3: 0.24}"
3543,400.0,93.54609262854572,0.3578580026309896,"tensor(2.5122, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.24, 1: 0.26, 2: 0.31, 3: 0.19}"
3663,320.0,94.04820767325907,0.34561699810315133,"tensor(3.4931, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.4, 1: 0.16, 2: 0.28, 3: 0.16}"
3769,320.0,83.58878957948009,0.3351528719397149,"tensor(1.1223, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.25, 1: 0.26, 2: 0.3, 3: 0.19}"
3871,400.0,97.34595200024495,0.32538284444348414,"tensor(1.2730, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.31, 1: 0.17, 2: 0.33, 3: 0.2}"
3981,320.0,81.79273549539202,0.31516548357432983,"tensor(1.5848, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.22, 1: 0.21, 2: 0.37, 3: 0.2}"
4099,400.0,89.07922742873599,0.30456145294565123,"tensor(0.7004, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.29, 1: 0.24, 2: 0.32, 3: 0.15}"
4211,400.0,84.02356935046596,0.2948268315218502,"tensor(1.9191, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.27, 1: 0.2, 2: 0.36, 3: 0.17}"
4330,480.0,101.44137889446316,0.2848244903598891,"tensor(2.0724, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.22, 1: 0.15, 2: 0.42, 3: 0.2}"
4430,480.0,71.97650081479674,0.2766820357435164,"tensor(2.6641, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.25, 1: 0.22, 2: 0.38, 3: 0.15}"
4540,720.0,110.88317589440214,0.26799393108932396,"tensor(0.3795, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.44, 1: 0.12, 2: 0.29, 3: 0.15}"
4640,560.0,114.1809993483237,0.2603326221246313,"tensor(3.5922, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.36, 1: 0.21, 2: 0.29, 3: 0.14}"
4742,640.0,173.3303789613836,0.25274367663356884,"tensor(2.6965, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.31, 1: 0.32, 2: 0.26, 3: 0.11}"
4852,560.0,155.74808455006414,0.2448072614363302,"tensor(2.9226, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.45, 1: 0.11, 2: 0.26, 3: 0.18}"
4959,640.0,189.56660889316325,0.23732647211740107,"tensor(0.9989, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.46, 1: 0.14, 2: 0.27, 3: 0.13}"
5063,560.0,170.32851943090455,0.23027456058697307,"tensor(1.7933, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.33, 1: 0.26, 2: 0.21, 3: 0.2}"
5167,400.0,155.73814394750505,0.22343218933997525,"tensor(2.4448, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.36, 1: 0.19, 2: 0.31, 3: 0.14}"
5269,400.0,172.06417135431408,0.21691892683752173,"tensor(0.9894, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.44, 1: 0.13, 2: 0.27, 3: 0.16}"
5374,560.0,200.26013087076998,0.21041236719577944,"tensor(1.7950, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.49, 1: 0.1, 2: 0.22, 3: 0.19}"
5493,480.0,216.64690878971635,0.20327388434289811,"tensor(1.2473, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.45, 1: 0.16, 2: 0.27, 3: 0.11}"
5597,320.0,144.80235558327976,0.19723381036360996,"tensor(2.7120, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.41, 1: 0.16, 2: 0.3, 3: 0.13}"
5698,320.0,171.70973847919515,0.19153980226486894,"tensor(0.5926, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.42, 1: 0.15, 2: 0.3, 3: 0.12}"
5815,320.0,181.05675590652842,0.18514896382724366,"tensor(0.3470, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.41, 1: 0.12, 2: 0.32, 3: 0.15}"
5921,240.0,145.4787038721426,0.17954327276704973,"tensor(1.6257, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.39, 1: 0.12, 2: 0.32, 3: 0.16}"
6031,320.0,169.0870201118968,0.17390542663958253,"tensor(0.9873, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.46, 1: 0.18, 2: 0.25, 3: 0.12}"
6136,240.0,155.14712947175852,0.168689072092058,"tensor(0.8015, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.3, 1: 0.17, 2: 0.37, 3: 0.16}"
6246,320.0,201.2774249461568,0.16339205919269886,"tensor(0.8185, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.41, 1: 0.13, 2: 0.32, 3: 0.13}"
6358,320.0,209.71302548391668,0.15816959973660988,"tensor(0.5644, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.4, 1: 0.25, 2: 0.26, 3: 0.1}"
6472,320.0,217.73672182273702,0.15302527116333567,"tensor(0.4073, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.44, 1: 0.12, 2: 0.32, 3: 0.11}"
6577,240.0,153.4205831559313,0.14843522423643113,"tensor(1.0643, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.42, 1: 0.12, 2: 0.29, 3: 0.17}"
6693,240.0,182.71402521166797,0.143524217482972,"tensor(0.7959, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.38, 1: 0.12, 2: 0.34, 3: 0.16}"
6795,240.0,166.01975938046172,0.139340348960324,"tensor(0.3820, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.35, 1: 0.14, 2: 0.36, 3: 0.15}"
6925,320.0,218.91779263919562,0.1341842729344786,"tensor(2.1256, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.41, 1: 0.12, 2: 0.3, 3: 0.18}"
7054,320.0,230.7502000697472,0.12925647397594728,"tensor(0.2004, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.43, 1: 0.11, 2: 0.28, 3: 0.18}"
7159,320.0,221.34969621760675,0.12537938049559944,"tensor(0.7362, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.38, 1: 0.13, 2: 0.31, 3: 0.18}"
7271,320.0,280.93897146643934,0.12137191076602359,"tensor(0.1771, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.37, 1: 0.17, 2: 0.34, 3: 0.12}"
7392,320.0,270.91508329028625,0.11718623076192104,"tensor(1.6628, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.41, 1: 0.13, 2: 0.35, 3: 0.11}"
7513,320.0,263.3356802589454,0.11314489978376827,"tensor(0.3224, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.35, 1: 0.16, 2: 0.36, 3: 0.13}"
7615,240.0,187.99658716326732,0.10984661749381515,"tensor(0.2639, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.36, 1: 0.14, 2: 0.36, 3: 0.13}"
7722,240.0,200.06708970082403,0.1064899384555917,"tensor(0.2772, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.41, 1: 0.16, 2: 0.32, 3: 0.12}"
7832,240.0,216.4659800120492,0.10314604326039252,"tensor(0.3611, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.42, 1: 0.13, 2: 0.32, 3: 0.13}"
7936,240.0,203.79653402309344,0.10008116488716932,"tensor(0.6568, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.39, 1: 0.13, 2: 0.3, 3: 0.19}"
8037,240.0,191.24107034429795,0.09719188864011812,"tensor(0.4299, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.4, 1: 0.16, 2: 0.3, 3: 0.14}"
8145,240.0,201.55190793076585,0.09419458685072371,"tensor(0.4813, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.35, 1: 0.17, 2: 0.32, 3: 0.16}"
8264,240.0,191.86491385060708,0.09099892657642772,"tensor(0.2589, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.4, 1: 0.15, 2: 0.32, 3: 0.13}"
8375,240.0,180.967017259485,0.09,"tensor(0.2674, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.31, 1: 0.13, 2: 0.35, 3: 0.21}"
8488,240.0,192.7038135285397,0.09,"tensor(0.4245, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.36, 1: 0.12, 2: 0.34, 3: 0.18}"
8593,240.0,192.5630668206817,0.09,"tensor(0.3572, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.37, 1: 0.15, 2: 0.32, 3: 0.15}"
8719,240.0,201.41160376274195,0.09,"tensor(0.2587, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.32, 1: 0.13, 2: 0.33, 3: 0.22}"
8835,240.0,188.92771569970094,0.09,"tensor(0.8051, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.34, 1: 0.14, 2: 0.35, 3: 0.17}"
8952,240.0,196.2277100674236,0.09,"tensor(0.3968, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.31, 1: 0.15, 2: 0.39, 3: 0.15}"
9061,240.0,198.35276266775728,0.09,"tensor(0.5315, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.38, 1: 0.16, 2: 0.33, 3: 0.14}"
9183,240.0,200.87695927856095,0.09,"tensor(0.3217, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.31, 1: 0.15, 2: 0.38, 3: 0.15}"
9325,240.0,201.88346783124092,0.09,"tensor(0.4665, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.37, 1: 0.13, 2: 0.37, 3: 0.14}"
9451,240.0,198.09176959442556,0.09,"tensor(0.2544, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.37, 1: 0.12, 2: 0.34, 3: 0.17}"
9560,240.0,216.2156924005072,0.09,"tensor(0.4462, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.43, 1: 0.11, 2: 0.35, 3: 0.11}"
9679,320.0,290.4127722633772,0.09,"tensor(0.1051, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.41, 1: 0.1, 2: 0.38, 3: 0.12}"
9806,320.0,305.9806194293617,0.09,"tensor(4.8485, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.41, 1: 0.11, 2: 0.37, 3: 0.11}"
9927,240.0,234.37116624208085,0.09,"tensor(1.9197, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.39, 1: 0.13, 2: 0.37, 3: 0.12}"
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
