episode,avg_steps,avg_reward,epsilon,loss,action_counts
161,160.0,-180.6316487377539,0.954376748082643,"tensor(0.4769, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.24, 1: 0.25, 2: 0.27, 3: 0.24}"
318,160.0,-142.09180112351643,0.9118923123111755,"tensor(3.3330, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.23, 1: 0.25, 2: 0.26, 3: 0.26}"
477,160.0,-108.68987373085673,0.8707938067992866,"tensor(4.2687, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.22, 1: 0.26, 2: 0.26, 3: 0.26}"
636,160.0,-88.32960932768003,0.8315475892522226,"tensor(0.8166, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.22, 1: 0.25, 2: 0.29, 3: 0.25}"
795,160.0,-79.25522551681513,0.7940701780284518,"tensor(3.3698, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.22, 1: 0.24, 2: 0.28, 3: 0.25}"
952,160.0,-61.00362916955867,0.7587218488238021,"tensor(1.0969, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.21, 1: 0.24, 2: 0.31, 3: 0.24}"
1095,160.0,-50.70496312467753,0.7278967602727934,"tensor(1.0529, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.2, 1: 0.25, 2: 0.33, 3: 0.23}"
1243,160.0,-53.268638727887925,0.6973120400328475,"tensor(2.6477, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.19, 1: 0.22, 2: 0.36, 3: 0.23}"
1388,160.0,-26.61284617573928,0.6685939346953691,"tensor(0.6792, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.18, 1: 0.24, 2: 0.35, 3: 0.23}"
1524,160.0,-10.795529839945287,0.6427341475662,"tensor(1.0218, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.16, 1: 0.24, 2: 0.38, 3: 0.23}"
1662,160.0,5.005624127975489,0.6175162465556905,"tensor(4.8995, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)","{0: 0.17, 1: 0.22, 2: 0.39, 3: 0.22}"
