episode,avg_steps,avg_reward,epsilon,temp,loss,action_counts
99,92.72,-166.23606470317944,0.9823362615948503,1.9705172400698465,"tensor(0.9272, grad_fn=<MseLossBackward0>)","{0: 0.2, 1: 0.19, 2: 0.32, 3: 0.22}"
199,95.95,-169.02863151042095,0.9648108336285945,1.9411778763417364,"tensor(1.8482, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.19, 2: 0.21, 3: 0.17}"
299,92.06,-161.18937080615567,0.9475980690927838,1.912275351351429,"tensor(620.8492, grad_fn=<MseLossBackward0>)","{0: 0.34, 1: 0.25, 2: 0.33, 3: 0.28}"
399,88.25,-144.70300907121722,0.9306923898970605,1.8838031609332373,"tensor(6.2873, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.17, 2: 0.2, 3: 0.17}"
499,93.31,-119.4659383185094,0.914088317467318,1.855754897763095,"tensor(187.0402, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.13, 2: 0.28, 3: 0.27}"
599,92.07,-130.09791826097288,0.8977804709702739,1.828124249916663,"tensor(6371.5815, grad_fn=<MseLossBackward0>)","{0: 0.27, 1: 0.26, 2: 0.21, 3: 0.26}"
699,89.8,-121.67618070124767,0.8817635655697176,1.8009049994489112,"tensor(2.2327, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.27, 2: 0.2, 3: 0.25}"
799,92.39,-106.88043913981073,0.8660324107138727,1.7740910209948433,"tensor(4.0661, grad_fn=<MseLossBackward0>)","{0: 0.25, 1: 0.2, 2: 0.27, 3: 0.24}"
899,94.02,-112.05437736426606,0.8505819084533047,1.7476762803910535,"tensor(525.1462, grad_fn=<MseLossBackward0>)","{0: 0.29, 1: 0.23, 2: 0.18, 3: 0.27}"
999,93.47,-116.89201817510451,0.8354070517888496,1.7216548333178145,"tensor(232.2268, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.2, 2: 0.24, 3: 0.2}"
1099,93.73,-117.7288716423472,0.8205029230490042,1.6960208239613785,"tensor(5.2626, grad_fn=<MseLossBackward0>)","{0: 0.25, 1: 0.26, 2: 0.28, 3: 0.25}"
1199,94.86,-94.47276339530973,0.8058646922962761,1.670768483696196,"tensor(163.3360, grad_fn=<MseLossBackward0>)","{0: 0.32, 1: 0.28, 2: 0.25, 3: 0.3}"
1299,90.86,-88.71695488663472,0.7914876157619555,1.6458921297867586,"tensor(22.0900, grad_fn=<MseLossBackward0>)","{0: 0.2, 1: 0.26, 2: 0.24, 3: 0.37}"
1399,93.0,-89.53637170789332,0.7773670343088186,1.621386164108765,"tensor(2.8536, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.25, 2: 0.33, 3: 0.27}"
1499,92.67,-77.22322772478795,0.7634983719212545,1.5972450718893316,"tensor(5.3747, grad_fn=<MseLossBackward0>)","{0: 0.11, 1: 0.22, 2: 0.2, 3: 0.21}"
1599,96.87,-86.2785402242079,0.7498771342223266,1.5734634204659574,"tensor(3.6201, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.3, 2: 0.16, 3: 0.27}"
1699,95.1,-67.14040984985844,0.7364989070172964,1.5500358580639706,"tensor(4.5175, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.09, 2: 0.26, 3: 0.2}"
1799,93.66,-72.21903608842933,0.7233593548631271,1.5269571125921781,"tensor(2.5111, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.25, 2: 0.33, 3: 0.23}"
1899,97.0,-65.41074899874918,0.7104542196635066,1.50422199045644,"tensor(20.5590, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.2, 2: 0.23, 3: 0.19}"
1999,96.58,-55.66263055677687,0.6977793192889438,1.4818253753909163,"tensor(7.4588, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.22, 2: 0.26, 3: 0.27}"
2099,100.98,-50.72670243216834,0.6853305462214737,1.459762227306714,"tensor(4.4686, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.16, 2: 0.25, 3: 0.19}"
2199,100.18,-49.63707234643237,0.6731038662235479,1.4380275811576695,"tensor(6.5919, grad_fn=<MseLossBackward0>)","{0: 0.3, 1: 0.19, 2: 0.24, 3: 0.23}"
2299,105.59,-59.605879844758945,0.6610953170306707,1.4166165458230373,"tensor(11.9502, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.29, 2: 0.57, 3: 0.37}"
