episode,avg_steps,avg_reward,epsilon,loss,action_counts
5005,516.24,126.9395963043423,0.23418110711518336,1.0089,"{0: 0.19, 1: 0.16, 2: 0.47, 3: 0.18}"
5105,411.12,103.77540579775548,0.22748642635129251,1.0602,"{0: 0.33, 1: 0.13, 2: 0.41, 3: 0.13}"
5205,415.6,118.40808329321928,0.22098313058460536,1.3305,"{0: 0.4, 1: 0.17, 2: 0.24, 3: 0.2}"
5305,340.32,91.73139626837104,0.2146657485733337,0.7177,"{0: 0.39, 1: 0.24, 2: 0.23, 3: 0.15}"
5405,372.56,123.52838139124073,0.20852896548547645,0.8663,"{0: 0.25, 1: 0.19, 2: 0.36, 3: 0.2}"
5505,314.48,115.75641603007311,0.20256761842743629,2.3349,"{0: 0.25, 1: 0.19, 2: 0.33, 3: 0.22}"
5605,263.2,99.36896643315775,0.19677669210046184,2.7721,"{0: 0.36, 1: 0.16, 2: 0.33, 3: 0.15}"
5705,362.32,158.68062427191242,0.19115131458126214,0.4751,"{0: 0.16, 1: 0.19, 2: 0.47, 3: 0.18}"
5805,299.6,133.55703872255378,0.18568675322324352,0.3555,"{0: 0.36, 1: 0.2, 2: 0.3, 3: 0.14}"
5905,267.6,78.40352150808977,0.18037841067492003,0.3636,"{0: 0.2, 1: 0.2, 2: 0.38, 3: 0.22}"
6005,251.6,106.98053328676586,0.17522182101214828,1.1251,"{0: 0.33, 1: 0.13, 2: 0.38, 3: 0.16}"
6105,216.24,87.85898028903169,0.17021264598093203,2.8971,"{0: 0.2, 1: 0.16, 2: 0.47, 3: 0.17}"
6205,219.52,107.75752404778002,0.1653466713476369,0.3200,"{0: 0.35, 1: 0.16, 2: 0.33, 3: 0.16}"
6305,214.64,94.50029104796306,0.16061980335354217,2.4001,"{0: 0.26, 1: 0.17, 2: 0.41, 3: 0.17}"
6405,243.6,107.9935685776605,0.15602806527075141,0.9339,"{0: 0.33, 1: 0.16, 2: 0.34, 3: 0.17}"
6505,224.8,122.40624944502612,0.151567594056558,1.3944,"{0: 0.31, 1: 0.13, 2: 0.36, 3: 0.2}"
6605,200.0,103.99753790630822,0.14723463710345697,0.5435,"{0: 0.26, 1: 0.2, 2: 0.35, 3: 0.19}"
6705,221.28,103.19104268677906,0.14302554908206438,1.0156,"{0: 0.23, 1: 0.13, 2: 0.38, 3: 0.26}"
6805,248.64,119.65786419863088,0.1389367888742919,2.9986,"{0: 0.26, 1: 0.2, 2: 0.38, 3: 0.15}"
6905,294.56,176.48803304806097,0.13496491659419368,0.7900,"{0: 0.4, 1: 0.14, 2: 0.33, 3: 0.14}"
7005,310.48,207.26456878448838,0.13110659069397984,0.3819,"{0: 0.32, 1: 0.21, 2: 0.36, 3: 0.12}"
7105,324.88,204.3805629042146,0.12735856515276225,0.4348,"{0: 0.26, 1: 0.18, 2: 0.39, 3: 0.17}"
7205,388.64,248.61792043377355,0.12371768674566874,0.2844,"{0: 0.24, 1: 0.19, 2: 0.35, 3: 0.22}"
7306,338.9306930693069,212.33795750648852,0.12014603993223119,0.3872,"{0: 0.51, 1: 0.1, 2: 0.28, 3: 0.11}"
