episode,avg_steps,avg_reward,epsilon,temp,loss,action_counts
99,91.92,-190.14949044346372,0.9516933769307994,1.9033867538615987,"tensor(23.8138, grad_fn=<MseLossBackward0>)","{0: 0.35, 1: 0.3, 2: 0.35, 3: 0.32}"
199,91.73,-158.3317145252311,0.9052674235521029,1.8105348471042058,"tensor(38.9780, grad_fn=<MseLossBackward0>)","{0: 0.37, 1: 0.34, 2: 0.39, 3: 0.26}"
299,94.63,-126.46195788339757,0.8611062428400729,1.7222124856801457,"tensor(4.3888, grad_fn=<MseLossBackward0>)","{0: 0.19, 1: 0.27, 2: 0.23, 3: 0.33}"
399,93.52,-118.22672017144914,0.8190993535905904,1.6381987071811808,"tensor(1.8999, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.19, 2: 0.4, 3: 0.21}"
499,93.46,-108.68272739872579,0.7791416641455342,1.5582833282910684,"tensor(1.9965, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.18, 2: 0.19, 3: 0.15}"
599,94.04,-112.99029118755699,0.7411332094774175,1.482266418954835,"tensor(2.7559, grad_fn=<MseLossBackward0>)","{0: 0.2, 1: 0.23, 2: 0.22, 3: 0.28}"
699,91.06,-96.35484717331443,0.7049789010996835,1.409957802199367,"tensor(60.1235, grad_fn=<MseLossBackward0>)","{0: 0.25, 1: 0.27, 2: 0.24, 3: 0.38}"
799,93.59,-86.0320509759429,0.6705882891769959,1.3411765783539917,"tensor(2.6148, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.17, 2: 0.3, 3: 0.16}"
899,104.17,-67.41488034927649,0.6378753362403742,1.2757506724807484,"tensor(197.2754, grad_fn=<MseLossBackward0>)","{0: 0.26, 1: 0.28, 2: 0.31, 3: 0.33}"
999,98.24,-57.50575513989225,0.6067582019410674,1.2135164038821349,"tensor(13.4912, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.13, 2: 0.33, 3: 0.15}"
1099,98.49,-62.8310857098978,0.5771590383046616,1.1543180766093233,"tensor(14.5887, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.19, 2: 0.55, 3: 0.18}"
1199,100.84,-54.470044605033124,0.5490037949732016,1.0980075899464032,"tensor(2.2631, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.2, 2: 0.39, 3: 0.19}"
1299,123.92,-40.65590957713372,0.5222220339480774,1.0444440678961548,"tensor(18.3930, grad_fn=<MseLossBackward0>)","{0: 1.25, 1: 1.35, 2: 3.57, 3: 1.33}"
1399,126.54,-37.68440878933095,0.49674675337021873,0.9934935067404375,"tensor(2104.5591, grad_fn=<MseLossBackward0>)","{0: 0.44, 1: 0.58, 2: 1.67, 3: 0.61}"
1499,147.66,-22.181307936373948,0.47251421989671744,0.9450284397934349,"tensor(21.9151, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.15, 2: 0.56, 3: 0.16}"
1599,152.45,-10.502816869773405,0.44946380925453877,0.8989276185090775,"tensor(215.9757, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.24, 2: 0.39, 3: 0.19}"
1699,190.72,-10.601560615484857,0.4275378545724137,0.8550757091448274,"tensor(57.4554, grad_fn=<MseLossBackward0>)","{0: 0.11, 1: 0.1, 2: 0.4, 3: 0.2}"
1799,287.9,-1.4593959862269308,0.4066815021114777,0.8133630042229554,"tensor(10.8009, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.28, 2: 0.87, 3: 0.3}"
1899,270.27,3.6608625937009798,0.38684257403372235,0.7736851480674447,"tensor(17.6931, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.21, 2: 0.48, 3: 0.22}"
1999,298.95,11.718921008026589,0.3679714378649446,0.7359428757298891,"tensor(5.1607, grad_fn=<MseLossBackward0>)","{0: 0.25, 1: 0.25, 2: 0.4, 3: 0.34}"
2099,280.13,7.183281171560013,0.35002088232561296,0.7000417646512259,"tensor(4.6779, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.28, 2: 0.55, 3: 0.21}"
2199,221.36,5.070676588772447,0.33294599921901236,0.6658919984380247,"tensor(13.6126, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.19, 2: 0.51, 3: 0.2}"
2299,248.9,14.378434139933606,0.3167040710811749,0.6334081421623498,"tensor(5.6734, grad_fn=<MseLossBackward0>)","{0: 2.0, 1: 1.83, 2: 1.74, 3: 1.93}"
2399,232.29,8.64061964561503,0.3012544643115281,0.6025089286230562,"tensor(6.5681, grad_fn=<MseLossBackward0>)","{0: 2.27, 1: 1.95, 2: 1.62, 3: 1.66}"
2499,252.08,19.015152661821467,0.2865585275168893,0.5731170550337786,"tensor(6.2360, grad_fn=<MseLossBackward0>)","{0: 0.2, 1: 0.28, 2: 0.46, 3: 0.21}"
2599,299.48,26.48502481903922,0.2725794948144954,0.5451589896289908,"tensor(17.5619, grad_fn=<MseLossBackward0>)","{0: 0.11, 1: 0.13, 2: 0.45, 3: 0.15}"
2699,277.52,34.20060342534042,0.2592823938521472,0.5185647877042944,"tensor(10.0548, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.13, 2: 0.49, 3: 0.08}"
2799,324.3,46.61560960389923,0.2466339583153596,0.4932679166307192,"tensor(5.4506, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.17, 2: 0.51, 3: 0.17}"
2899,353.37,50.98284998371455,0.23460254470262715,0.4692050894052543,"tensor(7.3197, grad_fn=<MseLossBackward0>)","{0: 2.08, 1: 2.22, 2: 1.43, 3: 1.77}"
2999,438.13,68.31886549696814,0.22315805316059978,0.44631610632119956,"tensor(3.4136, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.22, 2: 0.61, 3: 0.24}"
3099,430.99,70.98845591389411,0.21227185218111316,0.4245437043622263,"tensor(6.8056, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.2, 2: 0.42, 3: 0.11}"
3199,522.23,78.14681420425785,0.20191670697168435,0.4038334139433687,"tensor(3.5510, grad_fn=<MseLossBackward0>)","{0: 2.28, 1: 1.23, 2: 1.24, 3: 2.75}"
3299,497.37,87.38477124469941,0.19206671132027073,0.38413342264054146,"tensor(5.1337, grad_fn=<MseLossBackward0>)","{0: 0.08, 1: 0.14, 2: 0.47, 3: 0.15}"
3399,462.35,80.76953598957637,0.1826972227838353,0.3653944455676706,"tensor(1.5530, grad_fn=<MseLossBackward0>)","{0: 0.26, 1: 0.19, 2: 0.63, 3: 0.22}"
3499,511.41,96.56100353399101,0.1737848010385734,0.3475696020771468,"tensor(3.3517, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.22, 2: 0.43, 3: 0.21}"
3599,405.79,70.4978385640594,0.1653071492375671,0.3306142984751342,"tensor(9.8693, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.22, 2: 0.45, 3: 0.18}"
3699,449.88,87.62468580960608,0.15724305822915946,0.3144861164583189,"tensor(3.1682, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.2, 2: 0.48, 3: 0.22}"
3799,493.62,92.66074005655217,0.14957235349649245,0.2991447069929849,"tensor(9.2107, grad_fn=<MseLossBackward0>)","{0: 0.26, 1: 0.24, 2: 0.4, 3: 0.24}"
3899,482.6,87.14911569927692,0.14227584468546683,0.28455168937093367,"tensor(11.7721, grad_fn=<MseLossBackward0>)","{0: 2.97, 1: 1.89, 2: 1.17, 3: 1.47}"
3999,561.88,109.73502964274823,0.13533527759485164,0.2706705551897033,"tensor(130.7637, grad_fn=<MseLossBackward0>)","{0: 2.91, 1: 1.67, 2: 1.0, 3: 1.92}"
4099,552.95,104.55741922139043,0.12873328850843568,0.25746657701687137,"tensor(2.2881, grad_fn=<MseLossBackward0>)","{0: 3.17, 1: 1.58, 2: 0.7, 3: 2.05}"
4199,521.79,100.85918547344498,0.12245336075496815,0.2449067215099363,"tensor(1.1724, grad_fn=<MseLossBackward0>)","{0: 2.67, 1: 1.98, 2: 0.88, 3: 1.97}"
4299,558.76,114.68243495004303,0.11647978338721439,0.23295956677442878,"tensor(0.5648, grad_fn=<MseLossBackward0>)","{0: 2.74, 1: 1.8, 2: 0.97, 3: 1.99}"
4399,562.43,121.64308072149078,0.11079761187674808,0.22159522375349616,"tensor(1.5531, grad_fn=<MseLossBackward0>)","{0: 2.86, 1: 1.66, 2: 0.93, 3: 2.05}"
4499,656.11,135.7745996509377,0.10539263072614893,0.21078526145229787,"tensor(0.6520, grad_fn=<MseLossBackward0>)","{0: 2.71, 1: 2.55, 2: 1.1, 3: 1.14}"
4599,600.51,126.63555693159455,0.10025131790506973,0.20050263581013947,"tensor(0.5061, grad_fn=<MseLossBackward0>)","{0: 3.5, 1: 1.86, 2: 0.72, 3: 1.42}"
4699,618.05,133.06659077527965,0.09536081102119956,0.19072162204239912,"tensor(0.3518, grad_fn=<MseLossBackward0>)","{0: 2.79, 1: 1.46, 2: 0.97, 3: 2.28}"
4799,614.1,133.99529232821192,0.09070887514149145,0.1814177502829829,"tensor(1.3773, grad_fn=<MseLossBackward0>)","{0: 0.28, 1: 0.16, 2: 0.48, 3: 0.14}"
4899,499.28,113.76240949408243,0.09,0.17256774436629962,"tensor(0.2958, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.19, 2: 0.48, 3: 0.14}"
4999,551.39,121.58090810707844,0.09,0.164149463595602,"tensor(0.3099, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.17, 2: 0.4, 3: 0.16}"
5099,364.28,75.93734566489755,0.09,0.15614184735201236,"tensor(1.8955, grad_fn=<MseLossBackward0>)","{0: 2.88, 1: 1.3, 2: 0.66, 3: 2.66}"
5199,323.97,50.16310830295385,0.09,0.14852486240565668,"tensor(1.2529, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.23, 2: 0.48, 3: 0.17}"
5299,124.43,-173.1745964593636,0.09,0.14127945279709134,"tensor(501.1190, grad_fn=<MseLossBackward0>)","{0: 0.01, 1: 0.02, 2: 0.05, 3: 0.76}"
5399,73.48,-438.75260007284743,0.09,0.13438749216363755,"tensor(52.6380, grad_fn=<MseLossBackward0>)","{0: 0.01, 1: 0.03, 2: 0.04, 3: 0.54}"
5499,67.7,-543.2796914712582,0.09,0.12783173839135628,"tensor(500.9336, grad_fn=<MseLossBackward0>)","{0: 0.01, 1: 0.03, 2: 0.01, 3: 0.51}"
5599,68.57,-552.8054481478308,0.09,0.12159579047921011,"tensor(101816.7266, grad_fn=<MseLossBackward0>)","{0: 0.04, 1: 0.03, 2: 0.0, 3: 0.55}"
5699,65.98,-542.8560085143718,0.09,0.1156640475074986,"tensor(173888.5312, grad_fn=<MseLossBackward0>)","{0: 0.01, 1: 0.03, 2: 0.01, 3: 0.72}"
5799,68.02,-564.36029779607,0.09,0.11002166960791486,"tensor(1321.3915, grad_fn=<MseLossBackward0>)","{0: 0.02, 1: 0.03, 2: 0.01, 3: 0.63}"
5899,68.33,-572.3205760498589,0.09,0.10465454083757891,"tensor(9448.1133, grad_fn=<MseLossBackward0>)","{0: 0.03, 1: 0.02, 2: 0.01, 3: 0.54}"
5999,65.98,-529.6327338567048,0.09,0.1,"tensor(4801.4678, grad_fn=<MseLossBackward0>)","{0: 0.0, 1: 0.01, 2: 0.0, 3: 0.57}"
6099,68.09,-543.5657848067899,0.09,0.1,"tensor(24042.4102, grad_fn=<MseLossBackward0>)","{0: 0.03, 1: 0.05, 2: 0.03, 3: 0.88}"
6199,66.5,-528.9871008843304,0.09,0.1,"tensor(3776.7964, grad_fn=<MseLossBackward0>)","{0: 0.01, 1: 0.02, 2: 0.01, 3: 0.54}"
6299,70.0,-558.0300091662556,0.09,0.1,"tensor(1750.1273, grad_fn=<MseLossBackward0>)","{0: 0.03, 1: 0.02, 2: 0.03, 3: 0.58}"
episode,avg_steps,avg_reward,epsilon,temp,loss,action_counts
episode,avg_steps,avg_reward,epsilon,temp,loss,action_counts
episode,avg_steps,avg_reward,epsilon,temp,loss,action_counts
episode,avg_steps,avg_reward,epsilon,temp,loss,action_counts
