episode,avg_steps,avg_reward,epsilon,temp,loss,action_counts
99,95.35,-163.75215229345756,0.9707323853954611,1.947241141088753,"tensor(0.8097, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.18, 2: 0.23, 3: 0.2}"
199,95.75,-162.7448825314468,0.9420386676463453,1.8953621447860036,"tensor(2.9540, grad_fn=<MseLossBackward0>)","{0: 0.27, 1: 0.31, 2: 0.44, 3: 0.32}"
299,93.78,-154.07739011906224,0.9141931027462054,1.8448653246301077,"tensor(6.3633, grad_fn=<MseLossBackward0>)","{0: 0.29, 1: 0.22, 2: 0.21, 3: 0.24}"
399,96.29,-134.06384971923956,0.8871706202854996,1.7957138562598152,"tensor(18.5760, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.26, 2: 0.21, 3: 0.21}"
499,93.14,-130.08950133602374,0.8609468909067693,1.747871896399821,"tensor(4.5174, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.18, 2: 0.17, 3: 0.22}"
599,95.39,-108.86806016850929,0.8354983044000018,1.7013045567223606,"tensor(1.6779, grad_fn=<MseLossBackward0>)","{0: 0.31, 1: 0.3, 2: 0.28, 3: 0.27}"
699,92.06,-113.45644995284651,0.81080194844547,1.6559778784052104,"tensor(5.6717, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.19, 2: 0.19, 3: 0.12}"
799,95.68,-115.79740556072176,0.7868355879849099,1.6118588073675144,"tensor(1.0419, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.24, 2: 0.25, 3: 0.29}"
899,97.03,-98.70985400114509,0.7635776452024607,1.5689151701653854,"tensor(935.5988, grad_fn=<MseLossBackward0>)","{0: 0.43, 1: 0.36, 2: 0.68, 3: 0.36}"
999,95.19,-88.24586074608986,0.7410071800973455,1.5271156505297092,"tensor(8.7563, grad_fn=<MseLossBackward0>)","{0: 0.22, 1: 0.19, 2: 0.14, 3: 0.28}"
1099,95.98,-80.9365428184304,0.7191038716308007,1.4864297665290236,"tensor(173.3424, grad_fn=<MseLossBackward0>)","{0: 0.25, 1: 0.18, 2: 0.35, 3: 0.2}"
1199,99.4,-83.27458809971924,0.6978479994302824,1.446827848340843,"tensor(2.8360, grad_fn=<MseLossBackward0>)","{0: 0.19, 1: 0.18, 2: 0.27, 3: 0.23}"
1299,95.83,-75.8841450250245,0.6772204260344694,1.408281016615204,"tensor(1.2045, grad_fn=<MseLossBackward0>)","{0: 0.19, 1: 0.12, 2: 0.25, 3: 0.15}"
1399,94.36,-75.3741263898961,0.6572025796630901,1.3707611614146502,"tensor(15.4575, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.2, 2: 0.22, 3: 0.18}"
1499,97.82,-65.97843865591412,0.6377764374960482,1.3342409217153082,"tensor(22.0365, grad_fn=<MseLossBackward0>)","{0: 0.32, 1: 0.28, 2: 0.57, 3: 0.33}"
1599,97.86,-57.94819835686641,0.6189245094468019,1.2986936654541015,"tensor(3.6328, grad_fn=<MseLossBackward0>)","{0: 0.24, 1: 0.21, 2: 0.45, 3: 0.2}"
1699,97.5,-55.410129184925815,0.6006298224153795,1.2640934701075583,"tensor(1.2828, grad_fn=<MseLossBackward0>)","{0: 0.26, 1: 0.27, 2: 0.27, 3: 0.23}"
1799,103.55,-54.20074051988301,0.5828759050068577,1.230415103788033,"tensor(1.7728, grad_fn=<MseLossBackward0>)","{0: 0.26, 1: 0.25, 2: 0.38, 3: 0.24}"
1899,101.32,-57.58478991088743,0.5656467727015482,1.197634006843576,"tensor(3.2539, grad_fn=<MseLossBackward0>)","{0: 0.21, 1: 0.26, 2: 0.26, 3: 0.29}"
1999,109.0,-43.40125296133566,0.5489269134635317,1.165726273948027,"tensor(3.8730, grad_fn=<MseLossBackward0>)","{0: 0.19, 1: 0.15, 2: 0.22, 3: 0.24}"
2099,106.47,-39.907764307240974,0.5327012737745875,1.134668636668264,"tensor(10.8255, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.12, 2: 0.36, 3: 0.23}"
2199,108.78,-28.234709566426957,0.5169552450809477,1.1044384464959032,"tensor(1.4016, grad_fn=<MseLossBackward0>)","{0: 0.08, 1: 0.17, 2: 0.28, 3: 0.11}"
2299,124.33,-25.72366453050497,0.5016746506406634,1.0750136583310752,"tensor(6.1468, grad_fn=<MseLossBackward0>)","{0: 0.09, 1: 0.14, 2: 0.33, 3: 0.22}"
2399,112.58,-21.230077209038868,0.48684573275975324,1.0463728144062294,"tensor(2.8729, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.22, 2: 0.55, 3: 0.2}"
2499,133.17,-15.600910122740029,0.472455140405632,1.0184950286382455,"tensor(2.6455, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.22, 2: 0.38, 3: 0.11}"
2599,129.16,-15.118690009822435,0.45848991718667526,0.9913599713974401,"tensor(27.4452, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.15, 2: 0.51, 3: 0.14}"
2699,140.61,-15.256906692324264,0.44493748968709157,0.9649478546823712,"tensor(3.2955, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.14, 2: 0.55, 3: 0.16}"
2799,187.32,-1.218005950503978,0.43178565614660414,0.9392394176895996,"tensor(16.3242, grad_fn=<MseLossBackward0>)","{0: 0.94, 1: 1.31, 2: 1.85, 3: 0.9}"
2899,158.47,-9.803504987346866,0.41902257547474614,0.9142159127679285,"tensor(4.9565, grad_fn=<MseLossBackward0>)","{0: 1.19, 1: 1.13, 2: 1.68, 3: 1.0}"
2999,170.35,-11.850217138116507,0.4066367565898823,0.8898590917468385,"tensor(1.8417, grad_fn=<MseLossBackward0>)","{0: 0.14, 1: 0.17, 2: 0.48, 3: 0.19}"
3099,181.84,-14.596547784600183,0.3946170480733558,0.8661511926291717,"tensor(9.4544, grad_fn=<MseLossBackward0>)","{0: 0.11, 1: 0.34, 2: 0.54, 3: 0.27}"
3199,178.73,-13.830350185317462,0.3829526281294461,0.8430749266383522,"tensor(27.9243, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.25, 2: 0.54, 3: 0.21}"
3299,187.72,-13.322094561854952,0.37163299484209894,0.8206134656106974,"tensor(2.5219, grad_fn=<MseLossBackward0>)","{0: 0.13, 1: 0.18, 2: 0.49, 3: 0.12}"
3399,166.16,-18.958706688641783,0.3606479567196572,0.798750429723627,"tensor(2.2376, grad_fn=<MseLossBackward0>)","{0: 1.58, 1: 1.25, 2: 1.36, 3: 0.81}"
3499,189.16,-7.016520191998689,0.34998762351907753,0.7774698755508239,"tensor(3.0694, grad_fn=<MseLossBackward0>)","{0: 0.11, 1: 0.29, 2: 0.55, 3: 0.23}"
3599,207.19,-13.002926594657302,0.33964239734137164,0.7567562844356276,"tensor(7.9917, grad_fn=<MseLossBackward0>)","{0: 0.15, 1: 0.15, 2: 0.57, 3: 0.12}"
3699,216.83,10.338406095077834,0.32960296399025707,0.7365945511741953,"tensor(3.4157, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.25, 2: 0.59, 3: 0.27}"
3799,241.63,22.68117296980627,0.31986028458623617,0.716969973000161,"tensor(3.4433, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.24, 2: 0.53, 3: 0.26}"
3899,282.81,21.925821368779825,0.3104055874285531,0.6978682388627749,"tensor(6.0942, grad_fn=<MseLossBackward0>)","{0: 0.1, 1: 0.19, 2: 0.49, 3: 0.14}"
3999,201.08,20.187024489834176,0.3012303600977012,0.6792754189906947,"tensor(4.0763, grad_fn=<MseLossBackward0>)","{0: 1.02, 1: 1.11, 2: 1.64, 3: 1.23}"
4099,232.39,18.75820751745793,0.29232634179137196,0.6611779547338219,"tensor(9.1613, grad_fn=<MseLossBackward0>)","{0: 1.19, 1: 1.48, 2: 1.3, 3: 1.03}"
4199,243.18,22.728448617943496,0.2836855158869432,0.6435626486757768,"tensor(3.9708, grad_fn=<MseLossBackward0>)","{0: 0.18, 1: 0.11, 2: 0.46, 3: 0.12}"
4299,238.93,24.16562603339805,0.27530010272381267,0.6264166550097989,"tensor(28.2692, grad_fn=<MseLossBackward0>)","{0: 0.24, 1: 0.34, 2: 0.78, 3: 0.26}"
4399,296.8,35.86808279124888,0.2671625525990772,0.6097274701710563,"tensor(59.9434, grad_fn=<MseLossBackward0>)","{0: 0.23, 1: 0.27, 2: 0.71, 3: 0.26}"
4499,313.79,20.382047818993456,0.25926553897025056,0.5934829237185292,"tensor(21.7524, grad_fn=<MseLossBackward0>)","{0: 0.76, 1: 1.2, 2: 1.92, 3: 1.12}"
4599,313.17,37.84251910237637,0.2516019518589026,0.5776711694598227,"tensor(2.9227, grad_fn=<MseLossBackward0>)","{0: 0.16, 1: 0.11, 2: 0.49, 3: 0.15}"
4699,353.35,33.99426568929518,0.24416489144927697,0.5622806768124383,"tensor(1.9936, grad_fn=<MseLossBackward0>)","{0: 0.93, 1: 1.36, 2: 1.85, 3: 0.86}"
4799,303.54,39.731334048099164,0.2369476618761284,0.5473002223951955,"tensor(5.0167, grad_fn=<MseLossBackward0>)","{0: 0.2, 1: 0.17, 2: 0.51, 3: 0.21}"
4899,332.05,33.09725779727147,0.22994376519618312,0.5327188818436809,"tensor(1.5728, grad_fn=<MseLossBackward0>)","{0: 0.17, 1: 0.23, 2: 0.6, 3: 0.22}"
